,Unnamed: 2,Unnamed: 3,gdpc
0,IDN,Indonesia,4135.6
1,KHM,Cambodia,1643.1
2,LAO,Lao PDR,2534.9
3,MMR,Myanmar,1407.8
4,MYS,Malaysia,11414.2
5,PHL,Philippines,3485.1
6,SGP,Singapore,65233.3
7,THA,Thailand,7806.7
8,VNM,Vietnam,27153.0
