,Code,Unnamed: 2,Mobile money account (% age 15+) 
62,IDN,Indonesia,3%
74,KHM,Cambodia,6%
78,LAO,Lao PDR,0
100,MMR,Myanmar,1%
108,MYS,Malaysia,11%
122,PHL,Philippines,5%
133,SGP,Singapore,10%
145,THA,Thailand,8%
160,VNM,Vietnam,3%
