,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,-12%,2000000000,2000000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,0%,600000000,600000000,300000000,3,,,,,,,,,,,,,,,,,,,,
,100%,1500000000,1700000000,250000000,3,,,,,,,,,,,,,,,,,,,,
,8%,450000000,450000000,5000,3,,,,,,,,,,,,,,,,,,,,
,-20%,9600000000,Don't know (spontaneous),Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,20%,3000000000,1500000000,300,3,,,,,,,,,,,,,,,,,,,,
,33233%,8400000000,7800000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-12%,8000000000,10000000000,15000000,3,,,,,,,,,,,,,,,,,,,,
,33%,180000000,150000000,100,1,,,,,,,,,,,,,,,,,,,,
,-11%,15000000000,45000000,50000000,3,,,,,,,,,,,,,,,,,,,,
,4%,612600000,700000000,80000000,3,,,,,,,,,,,,,,,,,,,,
,-12%,2000000000,1500000000,200,2,,,,,,,,,,,,,,,,,,,,
,0%,200000000,225000000,100,2,,,,,,,,,,,,,,,,,,,,
,-20%,870000000,840000000,150000000,2,,,,,,,,,,,,,,,,,,,,
,-13%,300000000,340000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,43%,18072000000,18070000000,100,2,,,,,,,,,,,,,,,,,,,,
,-80%,144000000,180000000,70,2,,,,,,,,,,,,,,,,,,,,
,-4%,780000000,900000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-23%,40000000,28000000,30000000,3,,,,,,,,,,,,,,,,,,,,
,25%,100000000,500000000,30,2,,,,,,,,,,,,,,,,,,,,
,-50%,96000000,100000000,1500,2,,,,,,,,,,,,,,,,,,,,
,-20%,540000000,700000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,150%,150000000,120000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,-3%,500000000,1000000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,-14%,160040000,200000000,7500000000,1,,,,,,,,,,,,,,,,,,,,
,-13%,500000000,200000000,750000000,1,,,,,,,,,,,,,,,,,,,,
,7344%,360000000,370000000,600000000,1,,,,,,,,,,,,,,,,,,,,
,12%,8600000000,10000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,99900%,243440000,280000000,10000000000,1,,,,,,,,,,,,,,,,,,,,
,60%,6700000000,90000000,3000000000,1,,,,,,,,,,,,,,,,,,,,
,8%,100800000,90000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,150%,45000000000,45000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-20%,48000000,30000000,1000,1,,,,,,,,,,,,,,,,,,,,
,5%,2800000000,2600000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,80000000,Does not apply,5900000000,1,,,,,,,,,,,,,,,,,,,,
,58%,500000000,200000000,2500000000,1,,,,,,,,,,,,,,,,,,,,
,18%,2000000000,2500000000,750000000,1,,,,,,,,,,,,,,,,,,,,
,0%,1.84E+11,1.76E+11,920000000,1,,,,,,,,,,,,,,,,,,,,
,21%,Don't know (spontaneous),Don't know (spontaneous),50000000,Micro,,,,,,,,,,,,,,,,,,,,
,-90%,2.11801E+12,2.11801E+12,100000,1,,,,,,,,,,,,,,,,,,,,
,25%,3.15E+11,2E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,7%,6.03002E+12,5.10021E+12,40000000,1,,,,,,,,,,,,,,,,,,,,
