,FIRM GROWTH,ANNUAL SALES,INITIAL SALES,CREDIT ACCESS,_2015_a6b,,,,,,,,,,,,,,,,,,,,
,-8%,3276000000,4914000000,15000000,3,,,,,,,,,,,,,,,,,,,,
,4%,1800000000,Don't know (spontaneous),20000000,3,,,,,,,,,,,,,,,,,,,,
,50%,200000000,250000000,11500000000,3,,,,,,,,,,,,,,,,,,,,
,-33%,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-17%,140000000,150000000,2000000000,3,,,,,,,,,,,,,,,,,,,,
,929%,688000000,936000000,10000000,3,,,,,,,,,,,,,,,,,,,,
,-14%,444000000,398000000,5000000,3,,,,,,,,,,,,,,,,,,,,
,-14%,48000000,51000000,40000000,3,,,,,,,,,,,,,,,,,,,,
,400%,192000000,180000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,733%,60000000,67000000,4500000000,3,,,,,,,,,,,,,,,,,,,,
,-9%,18000000000,20000000,400000000,3,,,,,,,,,,,,,,,,,,,,
,900%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,9046%,782000000,1.4E+12,4000000000,2,,,,,,,,,,,,,,,,,,,,
,-50%,316800000,33000000,3000000000,3,,,,,,,,,,,,,,,,,,,,
,-24%,90000000,85000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,7400%,4800000000,1900000000,3500000000,2,,,,,,,,,,,,,,,,,,,,
,60%,4200000000,5000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-4%,12000000,88200000,20000000000,3,,,,,,,,,,,,,,,,,,,,
,-50%,48000000,39000000,10000000000,2,,,,,,,,,,,,,,,,,,,,
,88789%,4500000,Don't know (spontaneous),10000000000,3,,,,,,,,,,,,,,,,,,,,
,0%,550000000,500000000,1500000000,2,,,,,,,,,,,,,,,,,,,,
,17043%,2080000000,3200000000,10000000000,1,,,,,,,,,,,,,,,,,,,,
,15%,1800000000,90000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,92000000,115000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,150%,67200000,60000000,2000000000,3,,,,,,,,,,,,,,,,,,,,
,0%,180000000,140000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,42%,84000000,90000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,94900%,144000000,Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-40%,110000000,120000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-5%,73000000,70000000,50000000,2,,,,,,,,,,,,,,,,,,,,
,67%,108000000,72000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,0%,360000000,540000000,1000000000,3,,,,,,,,,,,,,,,,,,,,
,-88%,500000000,600000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,43%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-7%,3600000000,350000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-5%,8400000000,Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,300000000,350000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),540000000,8000000000,2,,,,,,,,,,,,,,,,,,,,
,32%,3080000000,3600000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,42000000,8400000,10000000,2,,,,,,,,,,,,,,,,,,,,
,0%,300000000,36000000,7000000,3,,,,,,,,,,,,,,,,,,,,
,11%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-22%,500000000,550000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-3%,24000000,2400000,40000000,2,,,,,,,,,,,,,,,,,,,,
,-28%,750000000,8200000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,21%,Don't know (spontaneous),Don't know (spontaneous),30000000,2,,,,,,,,,,,,,,,,,,,,
,5%,5000000000,10000000000,10000000,3,,,,,,,,,,,,,,,,,,,,
,0%,1300000,1700000,8000000,3,,,,,,,,,,,,,,,,,,,,
,-12%,150000000,2000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-22%,96000000,60000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-8%,48000000,50000000,30000000,2,,,,,,,,,,,,,,,,,,,,
,7%,24000000,48000000,15000000,2,,,,,,,,,,,,,,,,,,,,
,-59%,80000000000,90000000,30000000,1,,,,,,,,,,,,,,,,,,,,
,100%,3600000,3600000,30000000,1,,,,,,,,,,,,,,,,,,,,
,4%,720000000,4200000,50000000,1,,,,,,,,,,,,,,,,,,,,
,1100%,18400000,16000000,20000000,3,,,,,,,,,,,,,,,,,,,,
,20%,72000000,72000000,50000000,3,,,,,,,,,,,,,,,,,,,,
,0%,2500000000,1000000000,40000000,3,,,,,,,,,,,,,,,,,,,,
,-6%,4500000000,4500000000,150000000,2,,,,,,,,,,,,,,,,,,,,
,15%,85000000000,60000000000,350000000,3,,,,,,,,,,,,,,,,,,,,
,100%,95000000000,100000000,3000000,3,,,,,,,,,,,,,,,,,,,,
,54%,120000000,200000000,15000000,2,,,,,,,,,,,,,,,,,,,,
,13%,4000000000,4200000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,2160000000,1296000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,-17%,1700000000,1700000000,3000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,1500000000,12000000000,4000000000,1,,,,,,,,,,,,,,,,,,,,
,-43%,10000000000,7000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,158000000,170000000,Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,22%,9500000000,10000000000,1000000000,2,,,,,,,,,,,,,,,,,,,,
,-6%,Don't know (spontaneous),Don't know (spontaneous),300000000,2,,,,,,,,,,,,,,,,,,,,
,33%,10000000000,10000000000,30000000,2,,,,,,,,,,,,,,,,,,,,
,-12%,Don't know (spontaneous),Don't know (spontaneous),500000000,1,,,,,,,,,,,,,,,,,,,,
,-38%,8200000000,8200000000,600000000,1,,,,,,,,,,,,,,,,,,,,
,10%,475000000,360000000,400000000,1,,,,,,,,,,,,,,,,,,,,
,9%,15000000000,15000000000,60000000,2,,,,,,,,,,,,,,,,,,,,
,100%,Don't know (spontaneous),Don't know (spontaneous),1000000,1,,,,,,,,,,,,,,,,,,,,
,-8%,10000000000,10000000000,25000000,1,,,,,,,,,,,,,,,,,,,,
,-90%,Don't know (spontaneous),Don't know (spontaneous),250000,1,,,,,,,,,,,,,,,,,,,,
,18%,10000000000,9000000000,25000000,1,,,,,,,,,,,,,,,,,,,,
,45%,1720000000,2200000000,40000000,1,,,,,,,,,,,,,,,,,,,,
,977%,700000000,720000000,5000000,1,,,,,,,,,,,,,,,,,,,,
,25%,72000000,100000000,300000,1,,,,,,,,,,,,,,,,,,,,
,20%,850000000,700000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,140%,400000000,380000000,15000000,3,,,,,,,,,,,,,,,,,,,,
,150%,850000000,850000000,30000000,2,,,,,,,,,,,,,,,,,,,,
,0%,2808000000,3200000000,1200000000,1,,,,,,,,,,,,,,,,,,,,
,-4%,350000000,450000000,11000000,1,,,,,,,,,,,,,,,,,,,,
,529%,Don't know (spontaneous),Don't know (spontaneous),50000000,3,,,,,,,,,,,,,,,,,,,,
,25%,600000000,650000000,8000000,1,,,,,,,,,,,,,,,,,,,,
,33%,Don't know (spontaneous),Don't know (spontaneous),3000000,2,,,,,,,,,,,,,,,,,,,,
,0%,15000000000,14000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,67%,1000000000,2440000000,25000000,2,,,,,,,,,,,,,,,,,,,,
,1067%,100000000,50000000,4000000,3,,,,,,,,,,,,,,,,,,,,
,29%,3120000000,3000000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,195%,600000000,50000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,25%,216000000,180000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-20%,800000000,800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,7%,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,1500000000,1600000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,15000000,13000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-9%,900000000,450000000,70000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,960000000,624000000,60000000,1,,,,,,,,,,,,,,,,,,,,
,966%,450000000,400000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,75%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-10%,5200000000,5200000000,10000000,1,,,,,,,,,,,,,,,,,,,,
,17%,1000000000,1200000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,20%,2000000000,2000000000,200000000,1,,,,,,,,,,,,,,,,,,,,
,40%,21000000000,37000000000,50000000,Micro,,,,,,,,,,,,,,,,,,,,
,12%,3000000000,3000000000,150000000,2,,,,,,,,,,,,,,,,,,,,
,-11%,30500000000,25000000000,10000000,2,,,,,,,,,,,,,,,,,,,,
,67%,1500000000,1600000000,40000000000,1,,,,,,,,,,,,,,,,,,,,
,-8%,9600000000,7200000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,7%,1500000000,1700000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,5%,180000000,288000000,2800000000,3,,,,,,,,,,,,,,,,,,,,
,7%,550000000,500000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,17%,Don't know (spontaneous),2880000000,500000000,3,,,,,,,,,,,,,,,,,,,,
,-10%,600000000,550000000,Don't know (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,20%,72000000,36000000,32000000,1,,,,,,,,,,,,,,,,,,,,
,-9%,550000000,600000000,100000000,3,,,,,,,,,,,,,,,,,,,,
,4%,12000000,120000000,5000000,3,,,,,,,,,,,,,,,,,,,,
,-11%,100000000,85000000,2000000,3,,,,,,,,,,,,,,,,,,,,
,8%,80000000,55000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-16%,700000000,65000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,40%,12000000,9600000,150000000,1,,,,,,,,,,,,,,,,,,,,
,-21%,120000000,100000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,12%,Don't know (spontaneous),470000000,2000000000,2,,,,,,,,,,,,,,,,,,,,
,0%,600000000,250000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,12%,500000000,200000000,65000000000,2,,,,,,,,,,,,,,,,,,,,
,7%,1200000000,1200000000,5.5E+11,1,,,,,,,,,,,,,,,,,,,,
,50%,86400000,90000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,220000000,35000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-50%,2000000000,1600000000,1E+11,1,,,,,,,,,,,,,,,,,,,,
,53%,400000000,300000000,7000000000,1,,,,,,,,,,,,,,,,,,,,
,-19%,20000000,Don't know (spontaneous),Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,19%,75000000,75000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,-29%,54000000,32400000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,38%,700000000,60000000,400000000,1,,,,,,,,,,,,,,,,,,,,
,-9%,90000000,70000000,1500000000,1,,,,,,,,,,,,,,,,,,,,
,14%,310000000,105000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,6%,Don't know (spontaneous),Don't know (spontaneous),8000000000,1,,,,,,,,,,,,,,,,,,,,
,43%,1000000000,800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,67%,384000000,480000000,3800000000,1,,,,,,,,,,,,,,,,,,,,
,50%,150000000,140000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-50%,600000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,32%,900000000,900000000,5000000000,2,,,,,,,,,,,,,,,,,,,,
,-25%,18000000,18000000,3500000000,1,,,,,,,,,,,,,,,,,,,,
,650%,200000000,220000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,700%,15000000,15000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,25%,778000000,73000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,25%,50400000,28800000,2600000000,2,,,,,,,,,,,,,,,,,,,,
,-10%,180000000,200000000,3000000000,3,,,,,,,,,,,,,,,,,,,,
,0%,42000000,36000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,140%,120000000,100000000,800000000,1,,,,,,,,,,,,,,,,,,,,
,23%,84000000,60000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,31%,190000000,170000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),Don't know (spontaneous),5000000000,2,,,,,,,,,,,,,,,,,,,,
,900%,17281000000,19369000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,-14%,Don't know (spontaneous),50000000,8000000,Micro,,,,,,,,,,,,,,,,,,,,
,-13%,250000000,150000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,100%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,150%,39264000000,42891000000,Don't know (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,-25%,3000000000,2800000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,14%,8642000000,8239000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-9%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,167%,800000000,750000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-29%,Don't know (spontaneous),Don't know (spontaneous),2500000,1,,,,,,,,,,,,,,,,,,,,
,0%,17000000000,14500000000,1500000,1,,,,,,,,,,,,,,,,,,,,
,0%,45000000,Does not apply,15000000,1,,,,,,,,,,,,,,,,,,,,
,150%,360000000,400000000,1E+13,2,,,,,,,,,,,,,,,,,,,,
,0%,20000000,Don't know (spontaneous),4000000000,2,,,,,,,,,,,,,,,,,,,,
,-30%,900000000,750000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,67%,28600000,31575000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-17%,986000000,947000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,67%,57000000,64000000,Don't know (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,-47%,216000000,200000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,20%,228000000,Don't know (spontaneous),150000000,2,,,,,,,,,,,,,,,,,,,,
,16%,428000000,511000000,500000000,1,,,,,,,,,,,,,,,,,,,,
,900%,Don't know (spontaneous),65000000,6000000000,1,,,,,,,,,,,,,,,,,,,,
,-25%,280000000,200000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,236000000,300000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,150%,259000000,231000000,300000000,1,,,,,,,,,,,,,,,,,,,,
,0%,30000000,30000000,90000000,1,,,,,,,,,,,,,,,,,,,,
,-24%,396000000,353000000,500000000,1,,,,,,,,,,,,,,,,,,,,
,900%,Don't know (spontaneous),168000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,-7%,731000000,683000000,200000000,1,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,47%,6000000000,4000000000,150000000,1,,,,,,,,,,,,,,,,,,,,
,12%,Don't know (spontaneous),Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,25%,7500000000,5000000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,71329%,1500000000,3000000000,75000000,1,,,,,,,,,,,,,,,,,,,,
,0%,1300000000,850000000,600000000,1,,,,,,,,,,,,,,,,,,,,
,0%,389000000,480000000,250000000,1,,,,,,,,,,,,,,,,,,,,
,33%,350000000,295000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,15%,6000000000,8400000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,10%,900000000,650000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,8%,150000000,165000000,180000000,2,,,,,,,,,,,,,,,,,,,,
,20%,80000000,70000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,1%,850000000,800000000,20000000,1,,,,,,,,,,,,,,,,,,,,
,-6%,50000000,35000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,100000000,60000000,50000000,1,,,,,,,,,,,,,,,,,,,,
,10%,90000000,60000000,500000000,1,,,,,,,,,,,,,,,,,,,,
,25%,90000000,180000000,300000000,1,,,,,,,,,,,,,,,,,,,,
,900%,250000000,190000000,500000000,2,,,,,,,,,,,,,,,,,,,,
,100%,Don't know (spontaneous),Don't know (spontaneous),10000000,Micro,,,,,,,,,,,,,,,,,,,,
,0%,30000000000,40000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,11%,Don't know (spontaneous),Don't know (spontaneous),3000000000,1,,,,,,,,,,,,,,,,,,,,
,7%,15000000000,2000000000,36000000,1,,,,,,,,,,,,,,,,,,,,
,1233%,1500000000,Don't know (spontaneous),100000000,1,,,,,,,,,,,,,,,,,,,,
,0%,12000000000,1500000000,900000000,2,,,,,,,,,,,,,,,,,,,,
,79256068%,2500000000,2000000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,33%,25000000000,20000000000,5000000,1,,,,,,,,,,,,,,,,,,,,
,8%,54000000,60000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,93200000,93600000,175000000,1,,,,,,,,,,,,,,,,,,,,
,82%,600000000,249600000,400000000,1,,,,,,,,,,,,,,,,,,,,
,-25%,540000000,440000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,7%,6120000,4680000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,100000000,100000000,50,1,,,,,,,,,,,,,,,,,,,,
,0%,60000000,6000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,88%,6000000000,7000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,70000000,80000000,100,1,,,,,,,,,,,,,,,,,,,,
,75%,60000000,30000000,40000000,1,,,,,,,,,,,,,,,,,,,,
,0%,2500000000,1000000000,Don't know (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-23%,3000000000,4000000000,19000000,1,,,,,,,,,,,,,,,,,,,,
,-9%,48000000,42000000,50000000,1,,,,,,,,,,,,,,,,,,,,
,88%,100000000,110000000,1000000,1,,,,,,,,,,,,,,,,,,,,
,36%,16000000,6000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-38%,5000000000,7000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,24000000,Don't know (spontaneous),100000000,1,,,,,,,,,,,,,,,,,,,,
,-14%,360000000,360000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-17%,50000000,Don't know (spontaneous),650000000,1,,,,,,,,,,,,,,,,,,,,
,12%,1000000000,1000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,7800000000,3120000000,250000000,1,,,,,,,,,,,,,,,,,,,,
,25%,4000000000,4000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,560000000,800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,13%,500000000,300000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,14%,1000000000,1200000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,1500000000,900000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,800000000,1500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,3000000000,2500000000,2000000000,1,,,,,,,,,,,,,,,,,,,,
,-41%,251200000,216000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-27%,500000000,50000000,Refusal (spontaneous),3,,,,,,,,,,,,,,,,,,,,
,-9%,72000000,96000000,10,1,,,,,,,,,,,,,,,,,,,,
,100%,700000000,700000000,25000000,1,,,,,,,,,,,,,,,,,,,,
,3%,60000000,24000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,23%,500000000,500000000,40,1,,,,,,,,,,,,,,,,,,,,
,80%,95000000,125000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,800000000,80000000,150,1,,,,,,,,,,,,,,,,,,,,
,5%,2.04E+11,2.2E+11,40,1,,,,,,,,,,,,,,,,,,,,
,33%,1E+11,1E+11,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,6%,22000000000,15000000000,150,1,,,,,,,,,,,,,,,,,,,,
,20%,56000000000,50000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-91%,2.5E+12,2E+12,75,2,,,,,,,,,,,,,,,,,,,,
,80%,5E+11,700000000,30,1,,,,,,,,,,,,,,,,,,,,
,-15%,2.13943E+11,2.13E+11,60,1,,,,,,,,,,,,,,,,,,,,
,-11%,2.08162E+12,2.08493E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,43%,2.46E+11,1.85E+11,80,1,,,,,,,,,,,,,,,,,,,,
,-41%,3.6E+11,3.12E+11,20,1,,,,,,,,,,,,,,,,,,,,
,1199900%,8500000000,7700000000,20,1,,,,,,,,,,,,,,,,,,,,
,-31%,4E+11,3.7E+11,30000000,1,,,,,,,,,,,,,,,,,,,,
,8%,3000000000,2500000000,90000000,1,,,,,,,,,,,,,,,,,,,,
,-40%,9.08311E+12,9.00784E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,50%,19800000000,21000000000,150,1,,,,,,,,,,,,,,,,,,,,
,-17%,3000000000,2500000000,15000000,1,,,,,,,,,,,,,,,,,,,,
,0%,Don't know (spontaneous),6000000000,7000,1,,,,,,,,,,,,,,,,,,,,
,-89%,25300000000,23000000000,5000000,1,,,,,,,,,,,,,,,,,,,,
,5%,30000000000,24000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,4%,50000000000,5000000000,100000000,1,,,,,,,,,,,,,,,,,,,,
,4%,20000000000,10000000000,50,2,,,,,,,,,,,,,,,,,,,,
,25%,2.014E+12,2.004E+12,50,1,,,,,,,,,,,,,,,,,,,,
,215%,47520000000,Does not apply,50,1,,,,,,,,,,,,,,,,,,,,
,-11%,500000000,450000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-1%,8000000000,7500000000,100,1,,,,,,,,,,,,,,,,,,,,
,0%,4000000000,300000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-23%,1.2E+11,1.2E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1%,1.11033E+13,14009321,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-100%,1.2E+11,90000000000,50000000,1,,,,,,,,,,,,,,,,,,,,
,-33%,3.5E+11,3.25E+11,50000000,3,,,,,,,,,,,,,,,,,,,,
,100%,1.2E+11,1.2E+11,25000000,1,,,,,,,,,,,,,,,,,,,,
,0%,1.452E+12,7.992E+11,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,1%,1.5E+11,2E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,40%,1.45E+11,1.35E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,33%,14000000000,14000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,2.01017E+11,2.00632E+11,20000000,1,,,,,,,,,,,,,,,,,,,,
,-17%,1.28E+11,68000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,10%,8.08154E+12,8.07432E+12,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-23%,1.4E+12,8E+11,1.5,1,,,,,,,,,,,,,,,,,,,,
,5%,35000000000,35000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-8%,2000000000,2600000000,5000000000,1,,,,,,,,,,,,,,,,,,,,
,1025%,2000000000,2200000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,18%,1500000000,800000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,4%,1900000000,1400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,1011%,9000000000,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-91%,500000000,800000000,500000000,1,,,,,,,,,,,,,,,,,,,,
,13%,180000000,180000000,400000000,1,,,,,,,,,,,,,,,,,,,,
,0%,300000000,350000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,48%,180000000,216000000,1000000000,1,,,,,,,,,,,,,,,,,,,,
,0%,5600000000,5000000000,1000,1,,,,,,,,,,,,,,,,,,,,
,19%,1.2E+11,80000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,0%,5E+12,4E+12,2013,1,,,,,,,,,,,,,,,,,,,,
,0%,200000000,150000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,1700000000,1500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,80000000,70000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-11%,350000000,350000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-5%,150000000,150000000,Refusal (spontaneous),Micro,,,,,,,,,,,,,,,,,,,,
,-10%,360000000,360000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,12000000000,20400000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,-63%,8000000000,11000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,17%,30000000000,33000000000,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,40%,30000000000,15000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,3.5E+11,3.4E+11,55,1,,,,,,,,,,,,,,,,,,,,
,45%,2.24295E+11,1.82553E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,1.8E+11,1E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,18%,2E+11,1.5E+11,Refusal (spontaneous),2,,,,,,,,,,,,,,,,,,,,
,-5%,1.18E+11,1.12E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,20%,2000000000,1500000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,2.5E+11,2.35E+11,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,0%,6000000000,5000000000,Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
,17%,1.68E+11,Don't know (spontaneous),Refusal (spontaneous),1,,,,,,,,,,,,,,,,,,,,
