,Unnamed: 2,Unnamed: 3, finlit 
0,IDN,Indonesia,0.32
1,KHM,Cambodia,0.18
2,LAO,Lao PDR,0.13
3,MMR,Myanmar,0.52
4,MYS,Malaysia,0.36
5,PHL,Philippines,0.25
6,SGP,Singapore,0.59
7,THA,Thailand,0.27
8,VNM,Vietnam,0.24
